DEBUG 2017-12-14 14:27:01,530 [1    ] Abp.Modules.AbpModuleManager             - Loading Abp modules...
INFO  2017-12-14 14:27:19,312 [10   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/toastr/toastr.css'. Physical path: 'D:\GitHub\ABPAdminLTE\src\Wing.ABPAdminLTE.Web\wwwroot\lib\toastr\toastr.css'
INFO  2017-12-14 14:27:19,331 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 98.3997ms 200 text/css
INFO  2017-12-14 14:27:19,349 [9    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/bootstrap-paper/bootstrap.css'. Physical path: 'D:\GitHub\ABPAdminLTE\src\Wing.ABPAdminLTE.Web\wwwroot\lib\bootstrap-paper\bootstrap.css'
INFO  2017-12-14 14:27:19,365 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/sweetalert/dist/sweetalert.css  
INFO  2017-12-14 14:27:19,442 [13   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/sweetalert/dist/sweetalert.css'. Physical path: 'D:\GitHub\ABPAdminLTE\src\Wing.ABPAdminLTE.Web\wwwroot\lib\sweetalert\dist\sweetalert.css'
INFO  2017-12-14 14:27:19,544 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/json2/json2.js  
INFO  2017-12-14 14:27:19,553 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 327.1828ms 200 text/css
INFO  2017-12-14 14:27:19,560 [14   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/json2/json2.js'. Physical path: 'D:\GitHub\ABPAdminLTE\src\Wing.ABPAdminLTE.Web\wwwroot\lib\json2\json2.js'
INFO  2017-12-14 14:27:19,565 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/font-awesome/css/font-awesome.css  
INFO  2017-12-14 14:27:19,569 [9    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/css/main.css  
INFO  2017-12-14 14:27:19,574 [10   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/font-awesome/css/font-awesome.css'. Physical path: 'D:\GitHub\ABPAdminLTE\src\Wing.ABPAdminLTE.Web\wwwroot\lib\font-awesome\css\font-awesome.css'
INFO  2017-12-14 14:27:19,580 [9    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/css/main.css'. Physical path: 'D:\GitHub\ABPAdminLTE\src\Wing.ABPAdminLTE.Web\wwwroot\css\main.css'
INFO  2017-12-14 14:27:19,585 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/jquery/dist/jquery.js  
INFO  2017-12-14 14:27:19,602 [13   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/jquery/dist/jquery.js'. Physical path: 'D:\GitHub\ABPAdminLTE\src\Wing.ABPAdminLTE.Web\wwwroot\lib\jquery\dist\jquery.js'
INFO  2017-12-14 14:27:19,622 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 314.2348ms 200 text/css
INFO  2017-12-14 14:27:19,657 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/bootstrap/dist/js/bootstrap.js  
INFO  2017-12-14 14:27:19,674 [10   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/bootstrap/dist/js/bootstrap.js'. Physical path: 'D:\GitHub\ABPAdminLTE\src\Wing.ABPAdminLTE.Web\wwwroot\lib\bootstrap\dist\js\bootstrap.js'
INFO  2017-12-14 14:27:19,675 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 103.4526ms 200 application/javascript
INFO  2017-12-14 14:27:19,680 [9    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 166.178ms 200 text/css
INFO  2017-12-14 14:27:19,712 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 251.8555ms 200 text/css
INFO  2017-12-14 14:27:19,743 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/jquery-validation/dist/jquery.validate.js  
INFO  2017-12-14 14:27:19,748 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/blockUI/jquery.blockUI.js  
INFO  2017-12-14 14:27:19,752 [14   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/jquery-validation/dist/jquery.validate.js'. Physical path: 'D:\GitHub\ABPAdminLTE\src\Wing.ABPAdminLTE.Web\wwwroot\lib\jquery-validation\dist\jquery.validate.js'
INFO  2017-12-14 14:27:19,757 [9    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/moment/min/moment-with-locales.js  
INFO  2017-12-14 14:27:19,767 [13   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/blockUI/jquery.blockUI.js'. Physical path: 'D:\GitHub\ABPAdminLTE\src\Wing.ABPAdminLTE.Web\wwwroot\lib\blockUI\jquery.blockUI.js'
INFO  2017-12-14 14:27:19,778 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 98.5007ms 200 application/javascript
INFO  2017-12-14 14:27:19,789 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/toastr/toastr.js  
INFO  2017-12-14 14:27:19,796 [10   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/toastr/toastr.js'. Physical path: 'D:\GitHub\ABPAdminLTE\src\Wing.ABPAdminLTE.Web\wwwroot\lib\toastr\toastr.js'
INFO  2017-12-14 14:27:19,814 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 66.836ms 200 application/javascript
INFO  2017-12-14 14:27:19,826 [9    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/moment/min/moment-with-locales.js'. Physical path: 'D:\GitHub\ABPAdminLTE\src\Wing.ABPAdminLTE.Web\wwwroot\lib\moment\min\moment-with-locales.js'
INFO  2017-12-14 14:27:19,842 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 611.8258ms 200 text/css
INFO  2017-12-14 14:27:19,956 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 82.6595ms 200 application/javascript
INFO  2017-12-14 14:27:19,969 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/sweetalert/dist/sweetalert-dev.js  
